GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,TEAM_ELO,OPP_TEAM_ELO
0021900084,POR,PHI,-1,0,"NOV 02, 2019",0.6,0.6,111.0,1.0,46.8,17.4,7.2,5.8,15.8,27.0,0.363,1.0,1.0,111.5,4.0,51.25,25.0,11.5,6.75,20.0,29.0,0.31275,1510.2396082239795,1539.7285884409912
0021900081,MEM,PHX,-9,0,"NOV 02, 2019",0.25,0.25,107.0,-2.0,47.75,24.75,9.0,6.5,18.75,27.0,0.28275,0.6,0.6,115.4,1.0,46.4,28.8,9.2,4.0,15.8,29.4,0.3626,1481.1495477780727,1510.2073785562632
0021900082,MIL,TOR,10,1,"NOV 02, 2019",0.6,0.6,120.0,1.0,50.6,25.4,7.6,5.8,13.8,22.8,0.3566,0.8,0.8,114.6,3.0,49.6,24.2,7.8,5.0,18.2,23.8,0.3888,1510.000027808955,1528.610868375737
0021900083,GSW,CHA,-6,0,"NOV 02, 2019",0.2,0.2,113.6,-3.0,44.8,26.0,8.0,2.4,14.8,20.4,0.3318,0.4,0.4,108.0,-1.0,42.4,25.4,5.8,3.8,18.6,21.4,0.4164,1471.1514336588277,1490.0318863340615
0021900078,DET,BKN,4,1,"NOV 02, 2019",0.333,0.2,105.2,-2.0,42.2,22.4,7.0,4.8,18.4,20.4,0.3814,0.4,0.4,120.6,-1.0,51.2,23.0,7.8,5.6,19.6,23.6,0.42460000000000003,1479.6887494018854,1490.0218633892557
0021900079,ORL,DEN,-4,0,"NOV 02, 2019",0.4,0.4,94.8,-1.0,46.2,21.2,8.4,5.2,12.4,17.2,0.29359999999999997,0.6,0.6,106.0,1.0,45.8,22.4,7.4,5.0,13.4,23.0,0.3426,1490.016482759993,1506.395998301048
0021900089,CLE,DAL,-20,0,"NOV 03, 2019",0.4,0.4,103.8,-1.0,47.6,21.4,6.2,4.0,15.6,19.8,0.3378,0.6,0.6,113.8,1.0,48.8,23.8,6.4,4.2,14.2,19.6,0.3312,1489.1535158772522,1509.4492971584268
0021900087,NYK,SAC,-21,0,"NOV 03, 2019",0.167,0.2,98.8,-4.0,50.4,18.4,6.8,5.6,18.0,22.8,0.3686,0.167,0.2,100.0,-4.0,39.8,19.8,8.0,4.2,15.4,21.6,0.3156,1462.8007943225548,1464.6708934924948
0021900085,IND,CHI,13,1,"NOV 03, 2019",0.4,0.4,104.6,-1.0,43.2,23.6,8.6,5.0,12.2,24.2,0.32639999999999997,0.333,0.4,103.0,-2.0,40.4,21.8,8.2,4.0,12.0,21.4,0.31179999999999997,1491.3804631673286,1480.3209073282753
0021900086,MIA,HOU,29,1,"NOV 03, 2019",0.8,0.8,115.6,3.0,47.2,24.8,9.2,7.0,19.4,25.2,0.3934,0.6,0.6,125.6,1.0,45.2,25.6,8.4,5.0,14.4,23.2,0.305,1529.4396634836396,1507.7590506883478
